Open_Date,Expiration_date,Underlying_at_Open,Underlying_at_Expiraion,Call_Strikes,Put_Strikes,Total Premium Collected,Total Payout,Total PnL
2012-01-03,2012-02-17,127.495,136.41,133.0,121.0,3.14,3.41,-0.27
2012-02-01,2012-03-16,132.47,140.3,137.0,126.0,2.33,3.3,-0.97
2012-03-01,2012-04-20,137.73,137.95,142.0,131.0,2.26,0.0,2.26
2012-04-02,2012-05-18,141.84,129.74001,146.0,136.0,2.11,6.26,-4.15
2012-05-01,2012-06-15,140.74001,134.14,145.0,134.0,2.17,0.0,2.17
2012-06-01,2012-07-20,128.16,136.47,134.0,120.0,3.6,2.47,1.13
2012-07-02,2012-08-17,136.50999,142.17999,141.0,131.0,2.31,1.18,1.13
2012-08-01,2012-09-21,137.59,145.87,143.0,131.0,2.7,2.87,-0.17
2012-09-04,2012-10-19,141.03,143.3896,145.0,134.0,2.4,0.0,2.4
2012-10-01,2012-11-16,144.345,136.37,149.0,139.0,2.21,2.63,-0.42
2012-11-01,2012-12-21,142.83,142.78999,148.0,136.0,2.19,0.0,2.19
2012-12-03,2013-01-18,141.45,148.33,145.0,135.0,2.42,3.33,-0.91
2013-01-02,2013-02-15,146.06,152.11,150.0,141.0,2.12,2.11,0.01
2013-02-01,2013-03-15,151.24001,155.83,155.0,146.0,1.74,0.83,0.91
2013-03-01,2013-04-19,152.11,155.48,156.0,146.0,2.26,0.0,2.26
2013-04-01,2013-05-17,156.05,166.94,160.0,151.0,2.16,6.94,-4.78
2013-05-01,2013-06-21,158.28,159.07001,163.0,152.0,2.38,0.0,2.38
2013-06-03,2013-07-19,164.35001,169.17,169.0,157.0,2.44,0.17,2.27
2013-07-01,2013-08-16,161.36,165.83,167.0,155.0,2.62,0.0,2.62
2013-08-01,2013-09-20,170.66,170.72,175.0,164.0,2.36,0.0,2.36
2013-09-03,2013-10-18,164.39,174.388,169.0,157.0,2.73,5.39,-2.66
