,date,Daily PnL($),Cumulative PnL($),equity,Daily PnL(%),Cumulative PnL(%)
0,2012-01-02,0.0,0.0,10000.0,0.0,0.0
1,2012-01-03,-3.2727272727272396,-3.2727272727272396,9996.727272727272,-0.03272727272728426,-0.03272727272728426
2,2012-01-04,-3.2727272727272396,-6.545454545454479,9993.454545454546,-0.03273798697754904,-0.06545454545454632
3,2012-01-05,-3.2727272727272396,-9.818181818181719,9990.181818181818,-0.032748708245400326,-0.09818181818181948
4,2012-01-06,-3.2727272727272396,-13.090909090908958,9986.909090909092,-0.0327594365376771,-0.13090909090908154
5,2012-01-07,0.0,-13.090909090908958,9986.909090909092,0.0,-0.13090909090908154
6,2012-01-08,0.0,-13.090909090908958,9986.909090909092,0.0,-0.13090909090908154
7,2012-01-09,-3.2727272727272396,-16.363636363636196,9983.636363636364,-0.03277017186135156,-0.1636363636363547
8,2012-01-10,-3.2727272727272396,-19.636363636363434,9980.363636363636,-0.032780914223284885,-0.19636363636363896
9,2012-01-11,-3.2727272727272396,-22.909090909090672,9977.09090909091,-0.032791663630393764,-0.22909090909090102
10,2012-01-12,-3.2727272727272396,-26.18181818181791,9973.818181818182,-0.0328024200896615,-0.2618181818181742
11,2012-01-13,-3.2727272727272396,-29.454545454545148,9970.545454545454,-0.03281318360799368,-0.29454545454544734
12,2012-01-14,0.0,-29.454545454545148,9970.545454545454,0.0,-0.29454545454544734
13,2012-01-15,0.0,-29.454545454545148,9970.545454545454,0.0,-0.29454545454544734
14,2012-01-16,0.0,-29.454545454545148,9970.545454545454,0.0,-0.29454545454544734
15,2012-01-17,-3.2727272727272396,-32.727272727272386,9967.272727272728,-0.0328239541923403,-0.3272727272727094
16,2012-01-18,-3.2727272727272396,-35.99999999999962,9964.0,-0.032834731849695764,-0.35999999999998256
17,2012-01-19,-3.2727272727272396,-39.27272727272686,9960.727272727274,-0.032845516586976764,-0.3927272727272446
18,2012-01-20,-3.2727272727272396,-42.5454545454541,9957.454545454546,-0.03285630841122211,-0.4254545454545289
19,2012-01-21,0.0,-42.5454545454541,9957.454545454546,0.0,-0.4254545454545289
20,2012-01-22,0.0,-42.5454545454541,9957.454545454546,0.0,-0.4254545454545289
21,2012-01-23,-3.2727272727272396,-45.81818181818134,9954.181818181818,-0.032867107329370704,-0.45818181818180204
22,2012-01-24,-3.2727272727272396,-49.090909090908575,9950.909090909092,-0.03287791334841694,-0.4909090909090641
23,2012-01-25,-3.2727272727272396,-52.36363636363581,9947.636363636364,-0.03288872647543295,-0.5236363636363484
24,2012-01-26,-3.2727272727272396,-55.63636363636305,9944.363636363638,-0.03289954671734652,-0.5563636363636104
25,2012-01-27,-3.2727272727272396,-58.90909090909029,9941.09090909091,-0.03291037408126307,-0.5890909090908947
26,2012-01-28,0.0,-58.90909090909029,9941.09090909091,0.0,-0.5890909090908947
27,2012-01-29,0.0,-58.90909090909029,9941.09090909091,0.0,-0.5890909090908947
28,2012-01-30,-3.2727272727272396,-62.181818181817526,9937.818181818182,-0.032921208574154814,-0.6218181818181789
29,2012-01-31,-3.2727272727272396,-65.45454545454477,9934.545454545456,-0.03293205020307166,-0.654545454545441
30,2012-02-01,-15.397727272727241,-80.85227272727201,9919.147727272728,-0.15499176427525851,-0.8085227272727202
31,2012-02-02,-15.397727272727241,-96.24999999999925,9903.75,-0.15523236165131404,-0.9624999999999995
32,2012-02-03,-15.397727272727241,-111.64772727272648,9888.352272727274,-0.15547370715865982,-1.1164772727272565
33,2012-02-04,0.0,-111.64772727272648,9888.352272727274,0.0,-1.1164772727272565
34,2012-02-05,0.0,-111.64772727272648,9888.352272727274,0.0,-1.1164772727272565
35,2012-02-06,-15.397727272727241,-127.04545454545372,9872.954545454546,-0.15571580429224463,-1.2704545454545357
36,2012-02-07,-15.397727272727241,-142.44318181818096,9857.55681818182,-0.1559586565686666,-1.4244318181817928
37,2012-02-08,-15.397727272727241,-157.8409090909082,9842.159090909092,-0.15620226752665056,-1.578409090909072
38,2012-02-09,-15.397727272727241,-173.23863636363546,9826.761363636364,-0.15644664072693715,-1.7323863636363512
39,2012-02-10,-15.397727272727241,-188.63636363636272,9811.363636363638,-0.15669177975263793,-1.8863636363636194
40,2012-02-11,0.0,-188.63636363636272,9811.363636363638,0.0,-1.8863636363636194
41,2012-02-12,0.0,-188.63636363636272,9811.363636363638,0.0,-1.8863636363636194
42,2012-02-13,-15.397727272727241,-204.03409090908997,9795.96590909091,-0.15693768820941312,-2.0403409090908986
43,2012-02-14,-15.397727272727241,-219.43181818181722,9780.568181818182,-0.15718436972548266,-2.194318181818178
44,2012-02-15,-15.397727272727241,-234.82954545454447,9765.170454545456,-0.15743182795198152,-2.348295454545435
45,2012-02-16,-15.397727272727241,-250.22727272727172,9749.772727272728,-0.15768006656310396,-2.502272727272714
46,2012-02-17,-15.397727272727241,-265.624999999999,9734.375000000002,-0.15792908925614801,-2.656249999999971
47,2012-02-18,0.0,-265.624999999999,9734.375000000002,0.0,-2.656249999999971
48,2012-02-19,0.0,-265.624999999999,9734.375000000002,0.0,-2.656249999999971
49,2012-02-20,0.0,-265.624999999999,9734.375000000002,0.0,-2.656249999999971
50,2012-02-21,-12.125,-277.749999999999,9722.250000000002,-0.12455858747993931,-2.777499999999977
51,2012-02-22,-12.125,-289.874999999999,9710.125000000002,-0.12471392938877557,-2.8987499999999833
52,2012-02-23,-12.125,-301.999999999999,9698.000000000002,-0.12486965924743965,-3.0199999999999894
53,2012-02-24,-12.125,-314.124999999999,9685.875000000002,-0.12502577851103425,-3.1412499999999954
54,2012-02-25,0.0,-314.124999999999,9685.875000000002,0.0,-3.1412499999999954
55,2012-02-26,0.0,-314.124999999999,9685.875000000002,0.0,-3.1412499999999954
56,2012-02-27,-12.125,-326.249999999999,9673.750000000002,-0.12518228864196734,-3.2625000000000015
57,2012-02-28,-12.125,-338.374999999999,9661.625000000002,-0.12533919110996328,-3.3837500000000076
58,2012-02-29,-12.125,-350.499999999999,9649.500000000002,-0.12549648739212937,-3.5050000000000026
59,2012-03-01,12.986111111111079,-337.5138888888879,9662.486111111111,0.13457807255412568,-3.3751388888888956
60,2012-03-02,12.986111111111079,-324.5277777777768,9675.472222222223,0.134397203388259,-3.2452777777777775
61,2012-03-03,0.0,-324.5277777777768,9675.472222222223,0.0,-3.2452777777777775
62,2012-03-04,0.0,-324.5277777777768,9675.472222222223,0.0,-3.2452777777777775
63,2012-03-05,12.986111111111079,-311.5416666666657,9688.458333333334,0.13421681973604382,-3.1154166666666705
64,2012-03-06,12.986111111111079,-298.55555555555463,9701.444444444445,0.13403691964521958,-2.9855555555555635
65,2012-03-07,12.986111111111079,-285.56944444444355,9714.430555555557,0.13385750117393957,-2.8556944444444454
66,2012-03-08,12.986111111111079,-272.58333333333246,9727.416666666668,0.13367856239072662,-2.7258333333333273
67,2012-03-09,12.986111111111079,-259.5972222222214,9740.40277777778,0.13350010137440638,-2.5959722222222203
68,2012-03-10,0.0,-259.5972222222214,9740.40277777778,0.0,-2.5959722222222203
69,2012-03-11,0.0,-259.5972222222214,9740.40277777778,0.0,-2.5959722222222203
70,2012-03-12,12.986111111111079,-246.6111111111103,9753.38888888889,0.1333221162141074,-2.4661111111111134
71,2012-03-13,12.986111111111079,-233.6249999999992,9766.375,0.13314460500906122,-2.3362500000000286
72,2012-03-14,12.986111111111079,-220.63888888888812,9779.361111111111,0.1329675658687135,-2.2063888888889216
73,2012-03-15,12.986111111111079,-207.65277777777703,9792.347222222223,0.13279099691243523,-2.0765277777778035
74,2012-03-16,12.986111111111079,-194.66666666666595,9805.333333333334,0.13261489626963385,-1.9466666666666743
75,2012-03-17,0.0,-194.66666666666595,9805.333333333334,0.0,-1.9466666666666743
76,2012-03-18,0.0,-194.66666666666595,9805.333333333334,0.0,-1.9466666666666743
77,2012-03-19,25.11111111111108,-169.55555555555486,9830.444444444445,0.25609645544375503,-1.6955555555555613
78,2012-03-20,25.11111111111108,-144.44444444444377,9855.555555555557,0.2554422768271003,-1.444444444444437
79,2012-03-21,25.11111111111108,-119.33333333333269,9880.666666666668,0.254791431792567,-1.193333333333313
